Plant_Species,Life_History_Trait,Interim1_Prairie,Interim2_Prairie,Orbweaver1_Prairie,Orbweaver2_Prairie,Basswood1_Prairie,Basswood2_Prairie,Basswood3_Prairie,Basswood4_Prairie,Basswood5_Prairie
Asclepias_syriaca,NPD,0,0.041666667,0,0.041666667,0,0,0,0,0.25
Asclepias_verticillata,NPD,0,0,0,0,0,0,0,0,0
Aster_ericoides,NPD,0,0,0,0.25,0,0.041666667,0,0,0
Aster_lanceolatus,NPD,0,0,0,0.25,0,0,0,0,0
aster_lateriflorus,NPD,0,0,0,0,0,0,0,0,0
Aster_novae-angliae,NPD,0,0,1.25,0,0,0,0,0,0
Aster_ontarionis,NPD,0,0,0,0,0,0,0,0,0
Aster_pilosus,NPD,7.708333333,11.66666667,0.833333333,5.583333333,4.541666667,3.875,1.916666667,7.875,5.083333333
Brickellia_eupatorioides,NPD,0,0,0.083333333,0.041666667,0.291666667,0,0.041666667,0,0
Calystegia_sepium,NPD,3.791666667,5.541666667,0.5,0,0.5,0.25,0.083333333,0.5,0.25
Cirsium_discolor,NPD,0.041666667,0.291666667,0.875,0.291666667,0,0,0,0.75,0.291666667
Cornus_spp,NPD,0,0,0,0,0,0,0,0,0
Crataegus_spp,NPD,0,0,1.5,0,0,0,0,0,0.041666667
Cynanchum_laeve,NPD,0,0,0,0,0,0,0,0,0
Echinacea_pallida,NPD,0.041666667,0,0,0.041666667,0,0,0,0,0
epilobium_coloratum,NPD,0,0,0,0,0,0,0,0,0
Erigeron_strigosus,NPD,0,0.291666667,0,0.083333333,0.166666667,0.041666667,0.25,0,0.5
Eryngium_yuccifolium,NPD,0,0,0,0,0,0,0,0,0.041666667
Euphorbia_nutans,NPD,0.041666667,0,0,0,0,0,0,0,0
Euthamia_graminifolia,NPD,0,0,0,0,0,0,0,0,0
Fragaria_virginiana,NPD,0,0,0,0.041666667,0.041666667,0,0,0,0
Fraxinus_pennsylvanica,NPD,0,0,0,0,0,0,0,0,0
Geum_canadense,NPD,0,0,0.041666667,0,0,0,0,0,0.083333333
Gleditsia_triacanthos,NPD,0,0,0,0,0,0.041666667,0,0.291666667,0.041666667
Heliopsis_helianthoides,NPD,0.25,2.791666667,1.25,1.333333333,1.5,0.041666667,1,1.541666667,1.25
Heuchera_americana,NPD,0,0,0,0.041666667,0,0,0,0,0
Lespedeza_capitata,NPD,0,0.041666667,0.083333333,0,0.291666667,0.083333333,0.25,0.25,0.5
Ludwigia_palustris,NPD,0,0,0,0,0,0,0,0,0
Lycopus_americanus,NPD,0,0,0,0,0,0,0,0.041666667,0
Lycopus_virginicus,NPD,0,0,0,0,0,0,0,0,0
Lythrum_alatum,NPD,0,0,0,0.041666667,0,0,0,0,0
Monarda_fistulosa,NPD,2.541666667,6.625,6.958333333,0.041666667,1.75,0,2.875,1.833333333,0.791666667
Oxalis_stricta,NPD,0.333333333,0.25,0.125,0.041666667,0,0.041666667,0.083333333,0.291666667,0.041666667
Parthenocissus_quinquefolia,NPD,0,0,0,0,0,0,1.25,0,0
Pediomelum_argophyllum,NPD,0,0,0,0,0,0,0,0,0
Penstemon_digitalis,NPD,0.041666667,1.25,0,0.25,0,0,0,0,0
Penthorum_sedoides,NPD,0,0,0,0,0,0,0,0,0
Physalis_heterophylla,NPD,0.041666667,0,0,0,0.041666667,0.041666667,0,0,0
Physalis_virginiana,NPD,0,0.041666667,0,0,0,0,0,0.25,0.25
Physostegia_virginiana,NPD,0.041666667,0,0,0,0,0,0.041666667,0,0
Plantago_rugelii,NPD,0.25,0,2,0.041666667,0,0,0,0,0.041666667
Polygonum_amphibium,NPD,0,0,0,0,0,0,0,0,0
Populus_deltoides,NPD,0,0,0,0,0,0,0,0,0
Potentilla_arguta,NPD,0,0.041666667,0,0,0.041666667,0,0.041666667,0,0
Potentilla_norvegica,NPD,0.25,1.291666667,0,0,0.125,0.291666667,0.541666667,1.541666667,2.75
Potentilla_simplex,NPD,0,0,0,0,0,0,0,0,0
Prunus_serotina,NPD,0,0,0,0,0.041666667,0,0,0,0
Ratibida_pinnata,NPD,6.25,5.625,1.75,8.666666667,9.25,8.833333333,8.166666667,6.75,4
Rubus_spp,NPD,0,0,0,0,0,0,0,0,0
Rudbeckia_hirta,NPD,0.125,0,0.083333333,4.166666667,1.75,0.291666667,0.541666667,0,0.75
Rumex_altissimus,NPD,1.291666667,0,0.291666667,0,0.25,3.125,0,0,0
Salix_spp,NPD,0,0,0,0,0,0,1.541666667,0,0
Silphium_perfoliatum,NPD,1.291666667,0,0,0,0,0.041666667,0,0,0
Solanum_americanum,NPD,0,0,0,0,0,0,0,0,0
Solanum_carolinense,NPD,0,0,0,0,0,0,0,0,0
Solidago_canadensis,NPD,17.58333333,14.54166667,9.75,4.833333333,4.541666667,5.791666667,4.333333333,6.083333333,7
Solidago_rigida,NPD,0,0,0,0,0,0,0,0,0
Solidago_speciosa,NPD,0,0,0,0,0,0,0,0,0
Symphoricarpos_orbiculatus,NPD,0,0,0,0.041666667,0,0.041666667,0.041666667,0.25,0
Teucrium_canadense,NPD,0,0,0,0,0,0,0,0,1.541666667
Toxicodendron_radicans,NPD,0,0,1.25,0,2.5,0.041666667,0,0,0.041666667
Ulmus_rubra,NPD,0,0,0,0,0.125,0,0,0,0.25
Urtica_dioica,NPD,0,0,0,0,0,0,0,0,0
Verbena_hastata,NPD,0,0,0,0,0,1.25,0,0.041666667,0
Verbena_stricta,NPD,0,0.083333333,0,0,0,0.25,0.041666667,0,0
Verbena_urticifolia,NPD,0,0,0,0.041666667,0.333333333,0.291666667,0.791666667,1,4.083333333
Vernonia_baldwinii_fasciculata,NPD,0,1.291666667,0,0,0,0,1.25,0,0
Viola_spp,NPD,0.083333333,0,0,0,0,0,0,0,0
Vitis_riparia,NPD,0,0,0,0,0,0,0,0,0
Andropogon_gerardii,NPM,0.541666667,1.791666667,0.25,1.541666667,2.291666667,3.25,2.583333333,13,8.291666667
Bouteloua_curtipendula,NPM,1.583333333,9.791666667,1.666666667,0.333333333,1.25,1.291666667,4.458333333,1.875,1.583333333
Carex_frankii,NPM,0,0,0,0,0,0,0,0,0
Carex_vulpinoidea,NPM,0,0,0.083333333,3.125,0,0.25,0.125,0,1.5
Cyperus_esculentus,NPM,0,0.25,0,1.541666667,3.708333333,4,2.083333333,3.125,5
dichanthelium_oligosanthes,NPM,0,0.291666667,0,0,0,0,0,0,0
Elymus_canadensis,NPM,5.916666667,2.291666667,4.041666667,0.5,0.666666667,1.541666667,1.833333333,5.5,9.416666667
Elymus_virginicus,NPM,0.041666667,0,0,0,0,0,0,0,0
Juncus_spp,NPM,0,0,0.041666667,0,0,0,2.791666667,0.25,2.791666667
Koeleria_macrantha,NPM,0,0,0,0,0,0,0,0,0
Muhlenbergia_spp,NPM,0,1.291666667,0,0.25,0,0,0,0,0
Panicum_virgatum,NPM,0.25,0,0,0,0,0,0,0,0
Phalaris_arundinacea,NPM,0,0,0,0,0,5.208333333,1.25,0,0
Schizachyrium_scoparium,NPM,1.25,0,1.25,0.25,0.041666667,1.5,6.458333333,4.291666667,2.5
Scirpus_atrovirens,NPM,0,0,0,0,0,7.083333333,6.958333333,0,2.5
Sorghastrum_nutans,NPM,5.625,5.25,5.291666667,0.791666667,3.583333333,0.333333333,2.083333333,9.125,7.791666667
Sporobolus_asper,NPM,0,0,0,0,0,0,0,0,0
Sporobolus_heterolepis,NPM,0,0,0,0.041666667,0,0,0,0,0
Tradescantia_ohiensis_bracteata,NPM,1.5,0.75,0.333333333,0.25,0.375,0,0.041666667,2.041666667,0.75
Tridens_flavus,NPM,0,0,0.25,0,0,0,0,0,0.25
Abutilon_theophrasti,XAD,0,0.125,0.083333333,0.041666667,0,0,0,0.041666667,0
Amaranthus_retroflexus,XAD,0,0,0,0,0,0,0,0,0
Chenopodium_album,XAD,0.291666667,0.375,0.041666667,0.041666667,0,0,0,0,0
Glycine_max,XAD,0.25,0,0,0,0,0,0,0,0
Hibiscus_trionum,XAD,0,0,0,0,0,0.041666667,0,0,0
Ipomoea_hederacea,XAD,0,0,0,0,0,0,0,0,0
Thlaspi_arvense,XAD,0.041666667,0.041666667,0.041666667,0.041666667,0,0,0,0,0
Bromus_japonicus,XAM,0.041666667,0,0,0,0,0,0,0,0
Digitaria_ischaemum,XAM,0,0,0,0,0,0,0,0,0
Echinochloa_crusgalli,XAM,0,0,0,0,0,0,0,0,0
Poa_annua,XAM,0,0,0,0,0,0,0,0,0
Setaria_spp,XAM,6.375,4.916666667,3.541666667,5.333333333,0.125,0.166666667,0.5,3.708333333,1.875
Zea_mays,XAM,0,0,0,0,0.041666667,0,0,0,0
Arctium_minus,XBD,0,0,0,0,0,0,0,0,0
Barbarea_vulgaris,XBD,0.041666667,0,0,0,0,0,0.333333333,0,0.041666667
Cirsium_vulgare,XBD,0,0,0,0,1.25,0,0,0,0
Daucus_carota,XBD,8.666666667,8.666666667,1.875,4.125,4.833333333,7.25,0.791666667,13.125,2.083333333
Lactuca_serriola,XBD,0,0,0,0.25,0,0,0,0,0.041666667
Verbascum_thapsus,XBD,0,0,0,0,0.25,0,0,0,0.25
Cirsium_arvense,XPD,1.583333333,0.25,1.5,0.25,0,0.041666667,0,0.25,0
Convolvulus_arvensis,XPD,0.291666667,0,0,0,0,0,0,0.25,0
Euphorbia_cyparissias,XPD,0,0,0,0,0,0,0,0,0
Lespedeza_cuneata,XPD,0,0,0,0,0,0,0,0,0
Lotus_corniculatus,XPD,0,0,0,0,4.625,3.75,5.208333333,0,11.33333333
Medicago_lupulina,XPD,0,0,0,0,0.125,0.125,0,0,0
Medicago_sativa,XPD,0,0,0.041666667,1.291666667,0,0,0,0,0
Melilotus_spp,XPD,0.25,4.625,0,0.291666667,0.041666667,0,0.041666667,0,0.291666667
Pastinaca_sativa,XPD,0.333333333,3,1.416666667,0.791666667,0.25,1.25,0,0,0.083333333
Rumex_acetosella,XPD,0,0,0,0,0,0,0,0,0
Rumex_crispus,XPD,0,2.5,0.25,0,3.291666667,2.291666667,0.833333333,1.25,3.125
Sida_spinosa,XPD,0.25,0.041666667,0.083333333,0,0,0,0,0,0.041666667
Taraxacum_officinale,XPD,4.333333333,2.958333333,1.208333333,4.375,2.166666667,5.916666667,0.75,4.541666667,2.291666667
Trifolium_hybridum,XPD,0,0.333333333,0,0,0.333333333,1.333333333,0.041666667,0.291666667,0.583333333
Trifolium_repens,XPD,0.333333333,0.625,0,0.25,10.83333333,4.541666667,0.708333333,2.583333333,1.208333333
Trifolium_pratense,XPD,0.375,0,0,1.833333333,0,0.25,1.291666667,0.25,0.25
Agrostis_gigantea,XPM,0.291666667,0,0,0,0.25,0.25,5.291666667,0,1.5
Agrostis_stolonifera,XPM,0,0,0,0,0,0,0,0,0
Bromus_inermis,XPM,6.166666667,4.333333333,3.375,0.833333333,0.041666667,0.583333333,1.5,6.625,2.541666667
Dactylis_glomerata,XPM,0,0,1.25,0,0,0,0,0,0
Agropyron_repens,XPM,0,0,0,0,0,0,0,0,0
Festuca_arundinacea,XPM,0,0,0,0,0.291666667,2.75,0,0,0
Phleum_pratense,XPM,0,0,0,0,0,0.041666667,0,0.041666667,0
Poa_compressa_pratensis,XPM,4.25,2.5,52.33333333,13.375,35.04166667,16.25,26.83333333,16.54166667,29.20833333
Sonchus_spp,X_D,0,0,0,0,0,0,0,0,0
Sanicula_spp,NB_PD,0,0,0,0,0,0,0,0,0.041666667
Lepidium_spp,_BD,0.041666667,0,0,0,0,0,0,0,0
Cerastium_spp,_PD,0,0,0.041666667,0,0,0,0,0,0
Lonicera_spp,_PD,0,0,0,0,0,0,0.041666667,0,0
Morus_spp,_PD,0,0,0,0,0,0,0,0,0
Rosa_spp,_PD,0,0,0,0,0,0.041666667,0,0,0
Helianthus_spp,N_D,0,0,0,1.25,0,0,0,0,0
Aster_spp,D,0,0.291666667,0,0.041666667,0,0,0.041666667,0.083333333,0.041666667
Erigeron_spp,N_D,0.041666667,0.083333333,0,0,0,0,0.083333333,0.166666667,0.083333333
Lactuca_spp,D,0,0,0,0,0,0,0,0,0
solidago_spp,NPD,0,0,0,0.041666667,0,0,0,0,0
Physalis_spp,NPD,0,0,0.25,0,0,0,0,0,0
Ulmus_spp,PD,0,0,0.5,0,0,0,0.041666667,0,0
Verbena_spp,NPD,0,0,0,0,0,0,0,0.25,0
Apiacea_spp,D,0.25,0,0,0,0,0,0,0,0
Asteraceae_spp,D,0.041666667,0,0,0.083333333,0.166666667,0.125,0.041666667,0,0
Unknown_tree,PD,0,0,0,0,0,0,0.041666667,0,0
Unknown_dicot,D,0.041666667,0.083333333,0.125,0.083333333,0.041666667,0.083333333,1.291666667,0.208333333,0.166666667
Bromus_spp,M,0,0,0,0.041666667,0,0,0,0,0
Sporobolus_spp,N_M,0,0.041666667,0,0,0,0,0,0,0
Cyperaceae_spp,M,0.291666667,0.291666667,0.291666667,0.375,0.166666667,1.833333333,0.875,0.25,3.083333333
Poaceae_spp,M,0,0.25,0,0,0.041666667,0.041666667,0,0,0
